Tub,Replicate,Species,Weight (g),Notes
2 LWO,5,MUAS,1.4,
2 LWO,5,PUNU,10.2,
2 LWO,5,BOMA,NA,
3 HW,5,PHAU,6.5,
3 HW,5,EUMA,16.3,
3 HW,5,SOCA,13.7,
3 HW,5,EUOC,7.3,
3 HW,5,SCAC,NA,
3 HW,5,SCAM,NA,
3 HW,5,DISP,NA,
3 HW,5,MUAS,1.7,
3 HW,5,PUNU,37.8,
3 HW,5,BOMA,NA,
3 HWO,5,PHAU ,NA,
3 HWO,5,EUMA,2.1,
3 HWO,5,SOCA,14.3,
3 HWO,5,EUOC,4.2,
3 HWO,5,SCAC,T,
3 HWO,5,SCAM,T,
3 HWO,5,DISP,NA,
3 HWO,5,MUAS,1.4,
3 HWO,5,PUNU,44.8,
3 HWO,5,BOMA,NA,
3 LW,5,PHAU,1.2,
3 LW,5,EUMA,0.5,
3 LW,5,SOCA,3.4,
3 LW,5,EUOC,0.4,
3 LW,5,SCAC,NA,
3 LW,5,SCAM,NA,
3 LW,5,DISP,NA,
3 LW,5,MUAS,0.5,
3 LW,5,PUNU,7.4,
3 LW,5,BOMA,NA,
3 LWO,5,PHAU ,NA,
3 LWO,5,EUMA,7.4,
3 LWO,5,SOCA,7.4,
3 LWO,5,EUOC,4.3,
3 LWO,5,SCAC,NA,
3 LWO,5,SCAM,NA,
3 LWO,5,DISP,NA,
3 LWO,5,MUAS,0.9,
3 LWO,5,PUNU,29.8,
3 LWO,5,BOMA,NA,
4 HW,5,PHAU,1.8,
4 HW,5,EUMA,0.7,
4 HW,5,SOCA,7.4,
4 HW,5,EUOC,3.4,
4 HW,5,SCAC,NA,
4 HW,5,SCAM,NA,
4 HW,5,DISP,NA,
4 HW,5,MUAS,0.7,
4 HW,5,PUNU,18.3,
4 HW,5,BOMA,NA,
4 HWO,5,PHAU ,NA,
4 HWO,5,EUMA,0.2,
4 HWO,5,SOCA,9,
4 HWO,5,EUOC,4.8,
4 HWO,5,SCAC,NA,
4 HWO,5,SCAM,NA,
4 HWO,5,DISP,NA,
4 HWO,5,MUAS,0.8,
4 HWO,5,PUNU,31.4,
4 HWO,5,BOMA,NA,
4 LW,5,PHAU,1.8,
4 LW,5,EUMA,3.1,
4 LW,5,SOCA,1.7,
4 LW,5,EUOC,1,
4 LW,5,SCAC,NA,
4 LW,5,SCAM,NA,
4 LW,5,DISP,NA,
4 LW,5,MUAS,0.1,
4 LW,5,PUNU,9.1,
4 LW,5,BOMA,NA,
4 LWO,5,PHAU ,NA,
4 LWO,5,EUMA,17.4,
4 LWO,5,SOCA,3.1,
4 LWO,5,EUOC,2.6,
4 LWO,5,SCAC,T,
4 LWO,5,SCAM,NA,
4 LWO,5,DISP,NA,
4 LWO,5,MUAS,1.2,
4 LWO,5,PUNU,10.6,
4 LWO,5,BOMA,NA,
PHAU,5,PHAU,12,
1 HW,2,PHAU,1.4,
1 HW,2,EUMA,3.6,
1 HW,2,SOCA,4.7,
1 HW,2,EUOC,5.1,
1 HW,2,SCAC,NA,
1 HW,2,SCAM,NA,
1 HW,2,DISP,NA,
1 HW,2,MUAS,2.2,
1 HW,2,PUNU,34.4,
1 HW,2,BOMA,NA,
1 HWO,2,PHAU ,NA,
1 HWO,2,EUMA,16.7,
1 HWO,2,SOCA,8.7,
1 HWO,2,EUOC,9.9,
1 HWO,2,SCAC,T,
1 HWO,2,SCAM,NA,
1 HWO,2,DISP,T,
1 HWO,2,MUAS,2.4,
1 HWO,2,PUNU,52.5,
